hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
000a41cdca43be89ed62ea3abf2d0b64,snw_13_9_pre.cnf,sat,sat,127.358,336.92,9.586,10.261,193.728,88.228
003a77d2aa15a5f93aa2cfe79b986c9e,fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf,sat,sat,2.546,26.39,0.897,0.266,1.661,4.775
0059d4b1cf79efbc6e6ed50caee0448e,4col220_9_1.shuffled.cnf,sat,sat,10000.0,10000.0,15.279,3048.696,3426.006,10000.0
0062dc10471119b9e13da682216b190f,ex179_11.cnf,sat,sat,188.303,195.839,375.763,89.307,1616.114,1615.909
00a62eb89afbf27e1addf8f5c437da9b,ortholatin-7.cnf,sat,sat,25.117,95.745,5.873,2.778,67.325,23.715
00a981f385cd209d41e1efa1f5f29bac,ibm-2004-03-k70.cnf,sat,sat,29.593,38.153,7.244,4.205,6.102,39.203
00be590675417eba2bb2585790ac392d,iso-brn008.shuffled-as.sat05-2933.cnf,sat,sat,0.845,1.823,0.938,0.063,2.118,4.554
00e289099ea9bcef6a056a8c8ba8a3c0,ndist.b.21497.cnf,sat,sat,17.505,6.869,4.393,1.758,11.728,33.312
00ec2992d59f85705eb8e1f4f1e01b3d,sgen4-sat-280-8.cnf,sat,sat,10000.0,10000.0,757.705,10000.0,10000.0,10000.0
00f4aca773e5675f35263dcd46b15bde,vmpc_28.shuffled-as.sat05-1957.cnf,sat,sat,63.771,13.738,4.174,1.539,7.777,39.14
01209700b6b45ca5fda7fbcb17765db1,slp-synthesis-aes-top27.cnf,sat,sat,339.324,986.368,167.199,168.408,274.842,1050.239
0151bedac526ee195bc52e4134cd80e7,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,sat,sat,10000.0,10000.0,2907.554,1295.803,10000.0,10000.0
017bba0f995e6d9921253e5a59521435,9symml_gr_2pin_w6.shuffled.cnf,sat,sat,0.19,33.274,0.766,0.38,3.054,6.521
0191a0bf3412ed407ba669f8d69081ee,mrpp_6x6#18_20.cnf,sat,sat,94.308,143.423,17.586,22.449,72.295,66.17
01bc4d75a43a8293132d0be627341207,E04F19.cnf,sat,sat,13.589,115.488,84.426,57.705,37.57,123.883
0205e0724a8a912dde9ad7dfba2aee0b,003-23-80.cnf,sat,sat,768.377,4001.232,1164.665,631.542,783.276,1017.078
021686368317a35103f1f671f783d958,velev-npe-1.0-9dlx-b71.cnf,sat,sat,157.044,1810.273,257.852,743.554,405.107,733.263
0216f9d35f2b695b904fffb312e3e611,cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf,sat,sat,29.501,30.09,27.293,12.382,104.315,44.484
02223564bd2f5c20768e63cf28c785e3,mp1-squ_ali_s10x10_c39_abio_SAT.cnf,sat,sat,93.643,666.377,5.671,43.052,91.589,4.484
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf,sat,sat,638.888,229.515,10000.0,235.204,10000.0,1044.735
0241f35c5752768d2b0580533d143a14,53-131587.cnf,sat,sat,58.329,834.464,66.216,502.457,1272.522,127.652
024af9416f8c1dad1b4f974757e38d51,8-5-6.cnf,sat,sat,2130.451,10000.0,10000.0,1608.38,10000.0,10000.0
0261b44c278c36459061c368aa00575a,EDP3-12000.cnf,sat,sat,596.243,1376.948,10000.0,169.731,942.136,1710.567
028d0cc7af63e9bba5795f20e24db4f6,pyhala-braun-sat-35-4-04.shuffled.cnf,sat,sat,14.533,16.746,81.739,31.457,50.986,7.979
02b69d0e5c2b68d5c3d650164b6c277d,Q3inK08.cnf,sat,sat,0.931,0.951,0.774,0.069,1.571,4.59
02cfa5a71b5c89a1b10b5f5a5221ed05,clauses-8.cnf,sat,sat,1104.956,2738.761,132.001,291.273,1352.847,1396.191
02f2343e32f9070f149708d77556b4aa,Kakuro-easy-117-ext.xml.hg_5.cnf,sat,sat,10000.0,4187.254,783.067,440.247,1637.044,10000.0
0309ea422084568c2b4df13b32094380,rbsat-v945c61409gyes1.cnf,sat,sat,150.211,18.6,87.931,403.121,2052.373,2904.948
0336f81b60baac5b8f481dd3c32861a5,mod4block_2vars_10gates_u2_autoenc-sc2009.cnf,sat,sat,120.084,2002.712,4.975,91.991,805.295,10000.0
035c200bbf0a783e4ec9656cfa9b2f68,vmpc_34.shuffled-as.sat05-1958-sc2005.cnf,sat,sat,2114.012,10000.0,52.416,214.789,1999.231,530.056
0379936c75c225f1a9a113762b019da6,AProVE09-17.cnf,sat,sat,32.055,41.059,7.975,6.427,43.688,34.322
037c423f56548082b1935e88c48ffdda,3col120_5_2.shuffled.cnf,sat,sat,8.208,0.957,0.768,0.903,2.47,1.456
037d21e060a2e3eab8b080aa84ceee75,mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,sat,sat,29.888,142.493,1.466,1.796,15.323,13.86
039b45f4a3979c9176b115bb8e88342f,genurq8Sat.shuffled-as.sat03-1514.cnf,sat,sat,4.717,0.629,0.671,0.18,1.566,4.66
03a1ada3e778fcec8a7ee0c9e685d4be,connm-ue-csp-sat-n1200-d-0.02-s1528687777.used-as.sat04-953.cnf,sat,sat,10000.0,10000.0,2709.408,10000.0,982.601,290.648
03ba29d5cb38d345357a74a7b5ccd759,20-100-lambda100-49_sat.cnf,sat,sat,460.239,86.383,53.909,154.106,349.631,698.651
03bb7baaa45980753a0e7050ae44755d,atco_enc3_opt1_03_53.cnf,sat,sat,1160.211,1058.845,151.513,637.102,891.0,4265.812
03cb9868146a1c420ba8e3b1b08865b8,3col300_5_2.shuffled.cnf,sat,sat,52.406,28.392,1.072,29.497,6.431,40.798
03d1d6df36fdec5be7b60e6f0cd382f7,3col280_5_8.shuffled.cnf,sat,sat,18.58,1.703,0.773,6.247,2.365,1.462
03de316ba1e90305471a3b8620cb9cd7,satsgi-n23himBHm26-p0-q248.cnf,sat,sat,0.426,0.056,0.668,0.073,1.591,1.587
03fb9af7b390fe9e0739150ca3410cf0,4g_5color_166_100_02.cnf,sat,sat,10000.0,1469.024,118.067,973.408,392.842,807.431
0415acae197134f9d1cd7bea5ac3f2fd,jgiraldezlevy.2200.9086.08.40.136.cnf,sat,sat,11.235,848.08,108.549,175.287,123.778,10000.0
04283728b84c4b0ff6cb44ca4bc4ab65,new-difficult-28-302-26-75.cnf,sat,sat,10000.0,98.805,9.977,1.193,10000.0,10000.0
043f806db615f7a138d4beffe3367c1a,frb45-21-1.used-as.sat04-883.cnf,sat,sat,53.03,1106.666,2.166,699.253,356.668,2085.845
045613366353b062992e68937ca53edf,mrpp_6x6#14_12.cnf,sat,sat,35.055,9.109,1.969,1.304,5.334,12.653
0462a0427297f8979588174b502bd044,mod2c-rand3bip-sat-230-1.shuffled-as.sat05-2503.cnf,sat,sat,73.273,75.412,21.283,101.041,16.54,208.193
0463b72200ae80c02835c027d3606c4e,battleship-13-25-sat.cnf,sat,sat,32.31,5.837,0.757,1.673,1.74,10000.0
048a70da40ea4908c783b8314be2da97,aes_32_2_keyfind_1.cnf,sat,sat,423.182,3036.139,305.106,4178.685,3032.389,3297.158
0491901f00c8663e5b49a0dbbf96412f,rbsat-v945c61409g4.cnf,sat,sat,494.517,707.116,7.775,253.027,263.648,142.691
04935c7718d4ada8516e0d99c46df41b,g2-newton.8.3.i.smt2-cvc4.cnf,sat,sat,65.147,799.768,3.779,20.385,184.762,158.657
04e219c640ed59dc68ea2d50493de5b5,mp1-Nb5T15.cnf,sat,sat,14.505,116.562,3791.755,50.373,25.581,2470.395
04f9f1f61d99108b7ad0fa77d275dc4c,3col260_5_9.shuffled.cnf,sat,sat,22.521,4.379,1.764,0.908,1.178,10000.0
04fa0a71339fa76067a75ff448ef6f67,sat-strips-gripper-12t23.sat05-1144.reshuffled-07.cnf,sat,sat,15.03,57.107,1.274,1.484,7.902,10000.0
0506d033a4ca469af10d95dbf36a86e9,em_7_4_9_cmp.cnf,sat,sat,39.427,30.501,3.77,78.498,26.384,18.386
055836a43eb318de92f09c555ba4f3b5,3col160_5_6.shuffled.cnf,sat,sat,7.005,0.452,1.662,0.559,1.324,2.744
055db8f900741c7b8d7b731e99662588,rnd-v25-e13-k3.cnf,sat,sat,17.948,24.674,1.468,1.9,3.362,13.102
055f942145df4b6c9fd0d10a3f1da98e,atco_enc1_opt1_15_240.cnf,sat,sat,111.347,62.18,19.397,47.231,320.908,177.451
0593e6814f02ec9749e87bdc6aff8275,mrpp_6x6#14_10.cnf,sat,sat,20.885,20.352,1.568,2.894,21.435,10000.0
05b04d362b374569a4eb63c4e4e132b7,mp1-9_3.cnf,sat,sat,19.667,5.489,2.074,32.416,67.664,13.247
05c5ff612371a5773e857212174f625b,ezfact64_9.shuffled-as.sat03-1525.cnf,sat,sat,525.081,139.758,24.09,710.925,47.681,50.534
05eb87eb6fecb7a8a3bdc25154412c1d,VanDerWaerden_pd_2-3-24_592.cnf,sat,sat,10000.0,1107.525,2.976,1376.896,10000.0,10000.0
05f5567936f582edc0d3ea9903f540bc,sgen1-sat-230-100.cnf,sat,sat,4814.788,164.376,24.206,10000.0,10000.0,10000.0
05fbbab9f0baf819ed9593cca8587629,satsgi-n24himBHm28-p0-q282.cnf,sat,sat,0.347,0.485,74.476,0.08,2.092,4.704
0616ca6b1e0ae639d12e19ed310963a9,satcoin-genesis-SAT-4.cnf,sat,sat,39.122,104.328,2.679,13.337,53.357,34.087
06172049e6804cbfb07f993023f2684f,VanDerWaerden_pd_2-3-29_809.cnf,sat,sat,2854.737,1556.844,4543.192,10000.0,10000.0,10000.0
06326dd7bab63b892d2c147d5928468c,smtlib-qfbv-aigs-bin_libsmbsharemodes_vc6201-tseitin.cnf,sat,sat,27.033,206.964,4.194,3.419,9.112,64.771
06385be5ecfc7df22b2c956093cef85f,depots3_v01a.renamed-as.sat05-3950.cnf,sat,sat,0.627,14.975,0.767,0.231,3.215,6.563
064ba3c61c5f105104edec8305853711,puzzle35_sat.cnf,sat,sat,119.943,10000.0,226.757,577.774,10000.0,10000.0
066813ab5f3b7b1cc6d2847c37f5fae7,ezfact32_10.shuffled.cnf,sat,sat,0.809,1.104,0.673,0.081,1.429,3.553
06a36581f14e399a76a5110449ebe739,driverlog2_v01a.renamed-as.sat05-3961.cnf,sat,sat,0.215,0.298,0.666,0.071,2.593,2.645
06d96f79264e9991a5a0a417c401657a,g2-mult1.c.50.smt2-cvc4.cnf,sat,sat,38.789,1034.873,4.017,15.419,18.399,10000.0
06e46ab0acac57a61638cbb741949a98,complete-500-0.1-1-9876543215001.cnf,sat,sat,13.353,40.449,0.97,8.09,3.04,70.215
06e928088bd822602edb83e41ce8dadb,satcoin-genesis-SAT-10.cnf,sat,sat,35.069,177.672,2.377,13.983,100.834,56.084
06f538d7af257560476f9100e36d4445,gcdmax16bits_22.cnf,sat,sat,98.544,87.382,508.717,35.802,495.264,271.443
072785fd927ff0fd180ce8b9cc00078f,20180321_140826713_p_cnf_320_1120.cnf,sat,sat,188.272,25.334,0.673,468.909,3.352,10000.0
075e1eef00500b25ceb5ea4823ccf1b0,3col140_5_1.shuffled.cnf,sat,sat,3.532,0.637,0.666,0.569,1.558,2.334
076305ce31dd18724a3de91045800acc,26_stack_cas_longest_true-unreach-call.i-cbmc-u2-sc2016.cnf,sat,sat,10000.0,4130.175,114.748,10000.0,140.096,10000.0
07682e22f82f9257d44b45777ac06168,lksat-n900-m3357-k3-l5-s241765501.used-as.sat04-936.cnf,sat,sat,4.746,2.369,0.666,0.814,1.459,4.329
076fba8945d3a54a06f326474477077d,mrpp_6x6#12_9.cnf,sat,sat,12.265,8.003,1.168,1.027,6.82,2.845
