hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
000a41cdca43be89ed62ea3abf2d0b64,snw_13_9_pre.cnf.xz,sat,sat,117.74,109.627,93.871,98.0827,50.6417,33.6885,33.4447,34.6007,34.3879,21.9418,26.1627,14.2645,54.0271,85.4684,27.0003,18.3119,34.6784,40.619,41.653,20.6675,101.797,19.6463,126.85,99.732,47.5762,90.714,36.1624,32.9974
003a77d2aa15a5f93aa2cfe79b986c9e,fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf.xz,sat,sat,0.077303,0.076511,0.079257,0.068452,0.330826,0.051667,0.048777,0.048342,0.048242,0.16679,0.253456,0.481514,9.34489,0.25419,0.255278,0.177414,0.049269,0.049643,0.049284,0.164106,0.033304,0.033491,0.135864,0.13911,0.053441,0.137801,0.123625,0.033648
0059d4b1cf79efbc6e6ed50caee0448e,4col220_9_1.shuffled.cnf.xz,sat,sat,1500.11,1510.22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3897.67,31.5185,10000.0,10000.0,44.5334,10000.0,10000.0,1.9481,1024.35,10000.0,67.4513,10000.0,10000.0,392.123,307.411,1471.33,10000.0,10000.0,10000.0
0062dc10471119b9e13da682216b190f,ex179_11.cnf.xz,sat,sat,174.994,205.063,211.267,607.222,971.379,218.303,254.649,86.4656,198.063,207.333,26.8899,51.3313,1568.68,1509.12,653.575,87.9711,211.205,196.019,315.191,629.658,3183.08,117.692,109.417,317.845,553.936,107.546,58.6418,113.813
00a62eb89afbf27e1addf8f5c437da9b,ortholatin-7.cnf.xz,sat,sat,6.11075,6.14437,19.8933,5.50235,71.9474,23.9302,28.7144,25.2872,25.0086,9.51388,16.9827,52.378,28.5273,18.0829,52.1735,10.7674,40.7567,14.7274,16.2272,52.7992,24.356,40.5312,31.3433,9.23563,16.0452,30.8265,17.4231,16.217
00a981f385cd209d41e1efa1f5f29bac,ibm-2004-03-k70.cnf.xz,sat,sat,8.32924,8.2084,7.71523,7.91052,15.3905,3.95554,5.75653,3.46485,3.46716,7.92921,9.51564,8.063,13.6451,14.828,10.1766,2.47013,10.3238,1.93553,5.01754,7.14687,3.38954,3.38971,7.8655,2.31193,2.95833,5.76479,6.21169,8.945
00be590675417eba2bb2585790ac392d,iso-brn008.shuffled-as.sat05-2933.cnf.xz,sat,sat,0.013869,0.01389,0.014244,0.013358,0.012538,0.009464,0.008212,0.008307,0.008242,0.02652,0.024696,0.02768,0.042284,0.022247,0.02297,0.055084,0.046091,0.009122,0.008786,0.020158,0.012114,0.020878,0.025417,0.024873,0.025346,0.024819,0.008102,0.008965
00e289099ea9bcef6a056a8c8ba8a3c0,ndist.b.21497.cnf.xz,sat,sat,0.415522,0.423572,0.432975,0.420427,0.36619,0.223057,0.224029,0.218135,0.220285,0.274411,3.36007,1.92313,1.9434,1.98437,1.97402,1.47467,0.436748,0.218988,0.215817,10000.0,0.426653,0.425589,0.283159,0.273283,0.263253,0.25447,0.220503,0.252883
00ec2992d59f85705eb8e1f4f1e01b3d,sgen4-sat-280-8.cnf.xz,sat,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4660.25,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,167.67,2767.01,10000.0,10000.0,10000.0,10000.0
00f4aca773e5675f35263dcd46b15bde,vmpc_28.shuffled-as.sat05-1957.cnf.xz,sat,sat,474.927,109.298,799.053,382.687,42.1409,221.484,216.272,284.476,222.5,26.7068,156.78,63.4282,23.6671,75.5822,200.512,219.245,700.522,1200.25,26.5963,64.9235,87.8499,639.279,417.579,412.897,188.142,0.7613,136.368,100.015
