hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,nps,pakis22,pakismab22,parkissat-rs,pkissat,pmcomsps
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf,unsat,unsat,110.003,329.114,22.473,354.566,102.107,576.735,818.05,20.639,623.085,146.154
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf,unsat,unsat,84.163,399.422,90.154,48.01,76.816,101.564,163.608,51.051,463.612,452.557
00a62eb89afbf27e1addf8f5c437da9b,ortholatin-7.cnf,sat,sat,2.245,1.34,6.472,2.695,1.324,4.082,5.079,2.152,10.496,5.597
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf,unsat,unsat,78.718,921.291,23.739,10000.0,51.849,126.867,219.023,18.34,10000.0,10000.0
0151bedac526ee195bc52e4134cd80e7,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,sat,sat,1179.459,10000.0,79.83,1297.054,785.878,10000.0,10000.0,76.929,1298.856,344.515
01813075a2ddb68ae1fc655ca003437e,sha256__zeroOut_12__freeIn_16__seed_1.cnf,sat,sat,3441.411,10000.0,626.048,353.014,2011.956,4697.274,10000.0,1511.611,3177.985,2392.182
01d142c43f3ce9a8c5ef7a1ecdbb6cba,urquhart3_25bis.shuffled.cnf,unsat,unsat,4.326,1.433,0.768,4.575,1.682,10.037,26.037,10.038,4.032,1.611
0205e0724a8a912dde9ad7dfba2aee0b,003-23-80.cnf,sat,sat,217.289,972.323,782.125,631.35,2032.179,430.762,237.269,70.198,10000.0,989.649
02223564bd2f5c20768e63cf28c785e3,mp1-squ_ali_s10x10_c39_abio_SAT.cnf,sat,sat,39.439,45.599,4.171,42.598,74.733,74.196,49.364,1.046,76.062,34.878
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf,sat,sat,219.761,255.628,10000.0,235.621,203.096,610.953,551.273,69.273,882.469,607.244
024af9416f8c1dad1b4f974757e38d51,8-5-6.cnf,sat,sat,499.224,10000.0,10000.0,1602.545,1233.413,1276.53,1329.053,960.553,10000.0,10000.0
02627689047d06fbb642eef14768d751,ps_200_300_70.cnf,unsat,unsat,58.639,180.903,16.796,144.705,44.473,40.263,98.881,32.316,333.004,170.707
0294158664d9ada36bd23fbb652cb823,smtlib-qfbv-aigs-countbits128-tseitin.cnf,unsat,unsat,731.997,521.191,637.259,2069.864,718.935,855.291,732.285,823.719,10000.0,10000.0
02c6fe8483e4f4474b7ac9731772535d,ncc_none_7047_6_3_3_0_0_420.cnf,unsat,unsat,120.513,957.258,263.676,139.05,105.584,225.497,302.355,46.618,2953.688,934.267
02f2343e32f9070f149708d77556b4aa,Kakuro-easy-117-ext.xml.hg_5.cnf,sat,sat,226.029,279.151,1162.981,439.536,202.007,239.792,123.127,159.032,10000.0,359.162
0398e6b20de133ba8b49c74b67dad7b7,6s133-sc2014.cnf,unsat,unsat,407.684,1026.421,1.365,81.918,529.835,639.6,754.167,96.374,1230.55,598.304
03ba29d5cb38d345357a74a7b5ccd759,20-100-lambda100-49_sat.cnf,sat,sat,44.783,63.29,81.23,154.145,28.888,64.176,23.208,19.244,573.18,91.251
03bb7baaa45980753a0e7050ae44755d,atco_enc3_opt1_03_53.cnf,sat,sat,154.541,941.392,299.13,634.769,349.869,317.305,704.214,180.553,10000.0,1780.591
03c44a93577c98119dc498053888937a,ctl_4291_567_1_unsat_pre.cnf,unsat,unsat,398.574,2557.621,88.833,1124.814,416.33,4133.119,10000.0,172.216,1408.038,1316.906
03fb9af7b390fe9e0739150ca3410cf0,4g_5color_166_100_02.cnf,sat,sat,97.414,745.423,852.677,971.018,180.269,109.82,172.915,34.997,10000.0,10000.0
04157f716c1e9606c6a530657bf8f957,Kakuro-easy-125-ext.xml.hg_4.cnf,unsat,unsat,4854.875,10000.0,1559.542,1061.882,2520.485,10000.0,10000.0,1487.259,10000.0,10000.0
0447371bb8a97e8fe5d3cee6de1db766,UTI-20-10p0-sc2009.cnf,unsat,unsat,107.915,123.453,125.599,300.613,52.342,533.916,517.964,59.528,2510.867,368.817
047c92e7c0a36a23d8107f4313517719,rubikcube701-sc2017.cnf,unsat,unsat,445.809,2489.492,56.553,914.903,347.729,2031.584,3855.289,366.144,968.896,887.426
047fbe00ecc60835f1ee9d458bbd7ee8,SAT_H_instances_childsnack_p06.hddl_2.cnf,sat,sat,24.561,14.708,43.156,241.637,26.693,21.013,23.363,16.555,10000.0,1562.565
048142b6048cb6c10415e08f68a2c3a3,GP_81_430_13.cnf,sat,sat,291.585,10000.0,1457.633,2420.198,243.443,407.081,1177.606,43.593,10000.0,1429.668
048a70da40ea4908c783b8314be2da97,aes_32_2_keyfind_1.cnf,sat,sat,143.325,678.059,29.869,4202.155,40.528,7.15,235.253,30.052,10000.0,456.003
0616ca6b1e0ae639d12e19ed310963a9,satcoin-genesis-SAT-4.cnf,sat,sat,7.741,38.587,3.614,13.234,5.501,13.379,13.446,2.11,51.201,40.596
064fe286277f695f42b556ef991036ff,sin_depth_miter_2.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2696.15,10000.0,10000.0
072785fd927ff0fd180ce8b9cc00078f,20180321_140826713_p_cnf_320_1120.cnf,sat,sat,63.013,26.815,0.666,469.202,65.915,1.183,2.211,1.035,10000.0,10000.0
07b7859003d84402cbb1ebdc37655d55,6s186_Iter20.cnf,unsat,unsat,31.125,43.838,17.786,254.721,23.663,186.088,179.085,55.122,851.486,46.621
0810eb03d022334fdd1d5a6ad4969d47,gss-18-s100.cnf,sat,sat,86.013,225.199,22.573,4.977,60.897,9.299,12.586,23.274,279.137,61.125
0823bc5f954c6366702877556f0d3680,linked_list_swap_contents_safety_unwind66.cnf,unsat,unsat,96.976,374.207,313.222,979.617,245.332,84.085,272.985,58.011,10000.0,10000.0
0842eb01dc00232edc0b26ccb2f19f25,6-4-6-sc2018.cnf,sat,sat,1445.827,10000.0,2801.017,10000.0,10000.0,10000.0,10000.0,4377.715,10000.0,10000.0
0855033e761d91ae367e867c5a569f9e,atco_enc1_opt2_10_15.cnf,unsat,unsat,60.047,230.393,40.801,307.047,72.363,221.219,645.226,41.2,603.712,232.24
085b8ebc423dcbd70eceaa04229cf5cd,summle_X111102_steps8_I1-2-2-4-4-8-25-100.cnf,sat,sat,9.097,40.752,46.607,177.956,13.26,39.196,35.356,6.415,43.945,24.041
089456508f74be2d96f4112cc495f80a,Eternity-10-06_c18.cnf,sat,sat,64.074,1540.405,15.976,434.159,200.299,13.315,403.159,4.297,508.042,49.729
08991fb6c7c45205df7f2bc2f51fb1d9,bobsmdct_k500.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3695.707,10000.0,10000.0
08e151e72fe10402a49463171aa557e8,abw-V-nos6.mtx-w220.cnf,sat,sat,10000.0,155.261,10000.0,333.602,10000.0,10000.0,1180.759,648.796,10000.0,2011.36
090585dc32a79f2bf6fb61a2c7079682,mdp-28-16-sat.cnf,sat,sat,17.219,514.641,21.896,17.83,216.249,41.196,48.277,3.042,31.871,117.725
09d8544494e54bc756438e69567b4ba7,mp1-klieber2017s-0300-034-t12.cnf,sat,sat,44.693,48.137,28.405,102.526,31.626,81.197,189.632,10.166,1348.917,89.496
0a20cb72e5b005b8ed09d8a93184604a,j3037_9_gmto_bm1.cnf,unknown,unsat,10000.0,10000.0,3872.117,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0a3cb69074519646b0f2933ba7ad2d30,aws-encryption-sdk-c:aws_cryptosdk_hdr_write.cnf,unsat,unsat,10000.0,3368.61,283.979,1266.993,4958.201,979.168,1221.705,193.12,10000.0,4530.394
0a514edbeace21927e52d75f2d4a8efd,ota-for-aws-iot-embedded-sdk:parseJSONbyModel.cnf.gz,unsat,unsat,3471.072,10000.0,10000.0,10000.0,2243.69,10000.0,10000.0,10000.0,10000.0,1249.35
0b4421f6aac81e2dbc87c5b5ddae6511,52bits_12.dimacs.cnf,sat,sat,847.854,930.251,23.385,1776.451,1546.871,4760.81,3238.154,30.079,2789.038,228.445
0b495cc867003b7ac112b7c47256228b,h31_large.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0c0e6faa4abb622f5bea636ff04d341d,grid-color-12-14-2-cb.cnf,sat,sat,42.307,118.88,1287.01,40.912,106.729,127.232,308.192,18.175,4335.119,1023.301
0c5d7e7aa3dd6024816078d2bdcfc4e3,Carry_Bits_Fast_8.cnf.cnf,sat,sat,20.851,38.506,3.385,8.98,10.546,3.222,3.654,1.182,10000.0,89.275
0c75119940f87f2bc1dc3f53aeedc02b,20-100-lambda100-89_sat.cnf,sat,sat,180.177,650.081,259.702,327.058,65.414,227.658,99.607,49.258,387.588,1324.294
0d209cb420326994f9c4898eb10228ab,008-80-8.cnf,sat,sat,59.625,250.608,10000.0,36.136,178.178,59.406,194.45,170.566,252.721,42.23
0d4970edf84353e5a5798bca3f7f270e,SAT_H_instances_childsnack_p10.hddl_2.cnf,sat,sat,132.97,181.419,110.247,371.811,253.253,171.189,221.46,43.68,10000.0,10000.0
0dc468413b65339fad7e4f981bf2fb1e,reconf20_61_myciel4_2.cnf,unsat,unsat,12.737,41.318,18.188,105.18,5.729,12.16,17.327,4.326,79.586,36.57
0dcd0ec81c5e8dc13b72d43a4940279b,hantzsche_wendt_unit_147.cnf,sat,sat,124.084,1020.533,10000.0,416.272,162.41,873.202,850.203,142.345,10000.0,10000.0
0e775873f4c4bbc81ff92b87dd3e15e8,grid-strips-grid-y-3.045-NOTKNOWN.cnf,sat,sat,304.477,135.381,51.825,143.296,70.824,659.191,506.2,23.106,485.197,186.293
0e89b0f96c99f1a6aaaf66c3ae805919,SCPC-500-15.cnf,unsat,unsat,36.665,97.798,5.783,541.972,35.086,305.241,475.376,10.059,117.462,51.136
109aa0f5e177c1efb72f133a6f8c723b,hantzsche_wendt_unit_92.cnf,unsat,unsat,166.564,287.83,202.908,2031.156,165.755,1720.25,1530.207,289.155,1345.01,96.616
114f1b2ffd86e8a176bcbab664415520,bobsmdct_k88.cnf,unsat,unsat,1455.037,2877.78,195.521,1485.479,1434.628,1551.673,1212.755,259.72,10000.0,2460.044
129162378e8ad29b5485a9c53feee4b7,hantzsche_wendt_unit_93.cnf,sat,sat,109.305,152.984,15.981,202.834,49.676,104.118,151.184,12.138,124.415,22.887
13b13b34fe88f093aca06d6d035ee797,Lab-Project-FreeRTOS-Cellular-Library:Cellular_ATRemovePrefix.cnf,unsat,unsat,1521.597,1941.168,544.062,4347.656,594.49,844.867,705.594,251.521,10000.0,10000.0
14f35ebcab936f66fc9292ff62cf39a7,h31.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
157c7496c04d3fc63565cd7999dc45a5,Carry_Save_Fast_1.cnf.cnf,sat,sat,3.145,5.787,0.871,12.887,1.877,7.079,8.091,1.181,21.106,8.692
161a73825fb50badeedbf8d12e1e043a,cfi-rigid-z2-0088-03-or_2.cnf,unsat,unsat,39.888,31.307,58.557,199.83,31.578,229.72,160.006,45.648,10000.0,163.376
16a0949c23ac67c57c5773403daaca60,coreMQTT:MQTT_Connect.cnf,unsat,unsat,871.739,1709.607,369.639,561.026,1331.796,712.511,972.939,290.411,10000.0,2252.583
1b78438db7da55c2b4c4b8ec6b6cd6c6,soelberg_unit_158.cnf,unknown,unsat,4417.591,10000.0,3204.584,10000.0,10000.0,10000.0,10000.0,3282.636,10000.0,10000.0
1ebab99edff4c0470c8aa753bb9d3353,summle_X8637_steps8_I1-2-2-4-4-8-25-100.cnf,sat,sat,12.986,78.774,1930.072,137.021,44.679,42.264,37.986,9.419,101.728,69.122
1fabadca67bfeada7086035761b88b33,sum_of_three_cubes_165_unknown_representation.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1fee9f154615842029ec63d8520f4b4e,GP_300_250_15.cnf,sat,sat,1352.986,10000.0,10000.0,10000.0,522.995,1621.696,1195.512,503.001,10000.0,3706.414
20840b5020649385e3f8f4965de7a123,hantzsche_wendt_unit_83.cnf,unsat,unsat,316.585,632.275,64.316,1055.569,366.233,1727.452,3375.206,86.125,1321.432,1128.826
23e61c50ee2ac5cad1d337572abdebcf,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_edks.cnf,unsat,unsat,852.892,3392.342,660.132,910.007,697.371,569.476,954.549,291.281,10000.0,2552.797
24af39156d1daa122e5928d9aba11847,GP_100_948_33.cnf,sat,sat,3560.492,10000.0,10000.0,10000.0,1723.633,4656.654,4756.751,220.427,10000.0,10000.0
2551afad6b364a7225cdd1b9fa82f7c0,worker_500_500_500_0.35.cnf,sat,sat,25.212,19.731,12.298,227.734,12.12,9.87,12.693,25.112,10000.0,240.2
26342c62148962a09872831b7cef8aae,div-mitern165.cnf,unsat,unsat,952.687,10000.0,729.799,858.644,1532.809,2056.437,10000.0,481.135,10000.0,10000.0
26f8332e50a4ba5c371852e3737a3002,mdp-28-11-unsat.cnf,unsat,unsat,1265.044,3381.101,147.79,10000.0,1305.548,10000.0,10000.0,1192.143,4182.601,495.95
