hash,benchmark,verified-result,claimed-result,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf.xz,unsat,unsat,195.751,209.456,209.084,221.549,235.962,282.908,216.846,218.281,216.844,229.124,227.879,212.555,202.669,191.364,194.988,282.01,228.56,199.201,204.37,183.472,229.673,224.156,229.172,210.724,221.849,228.171,208.351,192.113,262.177,199.697,211.815,216.074,166.742,228.576,196.771,210.602,208.419,192.73,211.325,214.086,259.789,292.158,207.46,206.549,202.391,177.122,268.159,219.191,216.72,195.307
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf.xz,unsat,unsat,145.164,126.832,126.121,110.871,172.049,15.1759,62.0546,97.569,69.3235,74.1914,71.9459,193.056,166.374,181.738,1725.01,10000.0,234.194,112.873,172.876,167.6,199.247,265.278,1015.93,374.805,1504.99,201.359,375.635,120.773,100.55,74.4048,77.607,70.536,181.694,180.583,207.937,58.8445,54.6471,74.3382,75.0128,262.14,753.353,354.326,70.7513,77.7719,54.2209,50.7637,60.1541,33.5104,96.4637,59.2127
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf.xz,unsat,unsat,123.606,108.734,112.253,99.668,124.884,56.7675,68.2215,60.2371,64.033,63.884,64.1164,56.6868,93.049,114.217,10000.0,139.426,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,75.1086,78.2575,105.302,107.075,104.667,90.0985,96.6859,10000.0,170.345,80.421,55.614,54.5219,59.8197,58.9629,62.6589,68.5582,73.7506,101.931,61.4411,62.0642,56.6395,64.7655,75.7526,107.43,229.629
01d142c43f3ce9a8c5ef7a1ecdbb6cba,urquhart3_25bis.shuffled.cnf.xz,unsat,unsat,150.246,59.8517,81.923,53.9826,14.7121,12.9986,67.5338,20.8307,21.8146,22.4984,21.8569,54.8399,20.0714,60.458,15.68,41.029,31.266,18.2319,34.9564,21.0313,22.5881,23.2894,26.0055,10.2527,11.1089,17.5745,17.5513,126.909,207.929,24.7199,27.0882,28.4161,12.6495,80.1553,173.608,36.2225,28.0947,143.24,60.154,54.1881,161.538,169.276,21.7915,82.5636,72.1331,73.4674,53.9743,24.8395,21.6763,19.1403
02627689047d06fbb642eef14768d751,ps_200_300_70.cnf.xz,unsat,unsat,81.4984,105.648,104.044,83.7663,93.1174,10000.0,49.3582,33.3372,26.0085,26.1168,26.0131,50.6028,34.4975,74.3676,955.0,2699.79,109.421,118.403,287.783,829.758,160.501,234.973,264.716,315.292,218.202,51.6186,53.6271,214.596,89.594,40.3122,26.1869,36.0503,38.3649,90.4722,255.276,34.0358,141.209,32.7639,30.1632,35.0999,167.938,32.4836,61.4976,28.9536,33.6446,26.5802,30.6798,27.581,27.1394,107.666
0294158664d9ada36bd23fbb652cb823,smtlib-qfbv-aigs-countbits128-tseitin.cnf.xz,unsat,unsat,2905.82,3386.15,3920.93,3852.68,3128.78,10000.0,3468.04,1723.35,1426.17,1459.31,1530.1,3468.23,3360.73,4358.2,3854.5,4037.69,10000.0,4802.47,4949.05,2077.61,10000.0,3459.42,3526.37,3181.76,3407.36,1826.6,1736.95,3918.68,2755.75,1385.08,1561.85,1622.82,1563.54,1424.01,2697.48,1066.44,2981.81,1368.39,10000.0,3713.7,3487.04,3293.35,1305.07,3753.99,2267.38,3379.99,4955.13,1727.89,1610.54,3094.65
02c6fe8483e4f4474b7ac9731772535d,ncc_none_7047_6_3_3_0_0_420.cnf.xz,unsat,unsat,1054.45,1070.91,1081.22,963.759,1102.64,10000.0,286.412,404.853,393.285,364.82,364.034,307.415,3772.36,1815.58,754.943,4175.58,2463.04,2656.3,2330.37,1635.12,1000.53,4874.34,4855.12,4290.68,4211.15,10000.0,10000.0,1556.81,1106.38,477.002,447.745,409.929,10000.0,1251.85,1294.67,1034.66,895.725,334.091,300.6,338.454,627.335,368.349,425.026,311.084,341.92,405.82,331.059,1507.23,705.753,435.793
0398e6b20de133ba8b49c74b67dad7b7,6s133-sc2014.cnf.xz,unsat,unsat,508.574,639.982,609.721,552.419,600.047,10000.0,565.48,279.369,271.892,321.861,274.723,563.154,598.234,606.885,536.137,596.921,1092.53,530.207,585.956,215.749,771.172,579.038,610.396,966.434,699.5,279.941,287.979,555.514,601.077,327.783,306.517,290.439,514.507,520.231,508.492,202.743,562.035,257.976,883.809,575.991,596.269,483.486,268.363,385.05,418.663,537.627,631.023,315.818,327.632,585.612
03c44a93577c98119dc498053888937a,ctl_4291_567_1_unsat_pre.cnf.xz,unsat,unsat,1490.0,1741.57,1741.04,1543.73,1699.34,4506.47,1201.72,1843.52,1938.65,1736.84,1642.07,1324.05,2750.77,1626.84,1305.62,1914.49,1354.61,1209.62,1193.06,1039.37,2214.0,1136.89,1179.77,1356.45,1295.85,1647.75,1651.12,1671.08,1708.61,1721.89,1581.42,1803.85,933.761,2208.77,1559.48,1921.06,1782.42,1542.16,1312.97,1266.83,1378.1,1224.82,1671.24,1237.0,1182.3,1205.06,1443.93,1683.68,1672.46,1957.36
04157f716c1e9606c6a530657bf8f957,Kakuro-easy-125-ext.xml.hg_4.cnf.xz,unsat,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4871.87,4811.57,4581.28,4830.16,10000.0,3746.86,10000.0,2113.33,4555.03,1963.99,2164.02,2180.75,1968.54,2339.68,2405.13,2508.14,2246.91,2147.87,10000.0,10000.0,10000.0,10000.0,3857.19,10000.0,4818.82,2016.43,4022.22,4366.57,3624.07,3486.62,4576.1,10000.0,10000.0,10000.0,10000.0,4924.49,10000.0,4516.14,4320.48,10000.0,4661.68,4551.96,3566.61
