hash,benchmark,verified-result,claimed-result,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf.xz,unsat,unsat,195.751,209.456,209.084,221.549,235.962,282.908,216.846,218.281,216.844,229.124,227.879,212.555,202.669,191.364,194.988,282.01,228.56,199.201,204.37,183.472,229.673,224.156,229.172,210.724,221.849,228.171,208.351,192.113,262.177,199.697,211.815,216.074,166.742,228.576,196.771,210.602,208.419,192.73,211.325,214.086,259.789,292.158,207.46,206.549,202.391,177.122,268.159,219.191,216.72,195.307
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf.xz,unsat,unsat,145.164,126.832,126.121,110.871,172.049,15.1759,62.0546,97.569,69.3235,74.1914,71.9459,193.056,166.374,181.738,1725.01,10000.0,234.194,112.873,172.876,167.6,199.247,265.278,1015.93,374.805,1504.99,201.359,375.635,120.773,100.55,74.4048,77.607,70.536,181.694,180.583,207.937,58.8445,54.6471,74.3382,75.0128,262.14,753.353,354.326,70.7513,77.7719,54.2209,50.7637,60.1541,33.5104,96.4637,59.2127
00a62eb89afbf27e1addf8f5c437da9b,ortholatin-7.cnf.xz,sat,sat,3.43583,6.21002,6.12484,19.8088,5.54996,72.2971,9.81563,23.9179,28.3507,24.9864,25.0108,9.5509,9.31075,19.6436,16.9718,13.0335,69.4179,37.4427,51.0981,28.4681,34.1585,18.4128,25.5493,53.5087,85.9711,11.0557,10.993,5.3632,20.5392,14.705,13.7893,16.2034,52.7764,23.887,16.7981,27.0319,7.96135,40.586,31.2267,9.31971,12.0079,14.9862,5.61354,16.1187,14.4573,31.2159,13.6683,17.4987,13.4347,16.1929
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf.xz,unsat,unsat,123.606,108.734,112.253,99.668,124.884,56.7675,68.2215,60.2371,64.033,63.884,64.1164,56.6868,93.049,114.217,10000.0,139.426,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,75.1086,78.2575,105.302,107.075,104.667,90.0985,96.6859,10000.0,170.345,80.421,55.614,54.5219,59.8197,58.9629,62.6589,68.5582,73.7506,101.931,61.4411,62.0642,56.6395,64.7655,75.7526,107.43,229.629
0151bedac526ee195bc52e4134cd80e7,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf.xz,sat,sat,4066.65,3664.96,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1483.04,10000.0,4008.46,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4961.18,10000.0,10000.0,10000.0,3607.56,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2994.87,3769.09,10000.0,10000.0,10000.0
01813075a2ddb68ae1fc655ca003437e,sha256__zeroOut_12__freeIn_16__seed_1.cnf.xz,sat,sat,3111.86,2866.85,2538.31,2364.97,2697.8,10000.0,3943.73,3012.23,10000.0,4124.22,10000.0,4629.91,10000.0,2260.46,273.158,4743.45,954.145,1308.93,643.297,1227.69,10000.0,530.218,460.093,746.808,833.727,2585.21,1739.8,2867.51,2495.7,2607.64,3356.93,2606.64,2447.11,2204.83,2373.69,10000.0,10000.0,10000.0,1374.75,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3240.57,10000.0,10000.0
01d142c43f3ce9a8c5ef7a1ecdbb6cba,urquhart3_25bis.shuffled.cnf.xz,unsat,unsat,150.246,59.8517,81.923,53.9826,14.7121,12.9986,67.5338,20.8307,21.8146,22.4984,21.8569,54.8399,20.0714,60.458,15.68,41.029,31.266,18.2319,34.9564,21.0313,22.5881,23.2894,26.0055,10.2527,11.1089,17.5745,17.5513,126.909,207.929,24.7199,27.0882,28.4161,12.6495,80.1553,173.608,36.2225,28.0947,143.24,60.154,54.1881,161.538,169.276,21.7915,82.5636,72.1331,73.4674,53.9743,24.8395,21.6763,19.1403
0205e0724a8a912dde9ad7dfba2aee0b,003-23-80.cnf.xz,sat,sat,10000.0,10000.0,10000.0,3326.1,10000.0,10000.0,718.342,3444.73,10000.0,1396.51,3408.35,4919.13,1344.49,10000.0,150.342,638.486,1341.79,349.413,221.194,10000.0,10000.0,4119.59,313.67,1319.53,4284.07,10000.0,1529.77,10000.0,10000.0,412.016,1623.37,407.467,10000.0,10000.0,626.184,10000.0,905.613,2367.32,3902.05,314.976,1634.16,1695.74,310.38,2156.71,10000.0,1947.73,1171.08,1863.66,1367.39,1137.49
02223564bd2f5c20768e63cf28c785e3,mp1-squ_ali_s10x10_c39_abio_SAT.cnf.xz,sat,sat,40.8057,258.305,645.442,175.799,48.6696,31.1526,192.595,53.8477,3.75583,42.7237,12.9892,365.569,83.4782,875.486,0.556046,0.546514,60.3126,8.89117,60.1948,207.806,254.723,166.179,173.961,71.7559,109.753,196.831,202.279,856.509,196.618,92.5597,35.5611,150.916,1.63624,321.589,69.8869,278.801,11.1502,24.0181,6.73914,27.026,60.8609,39.1659,12.5092,271.324,55.038,215.376,246.161,94.8893,35.8221,3.21379
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf.xz,sat,sat,144.527,366.021,261.386,546.497,363.252,10000.0,160.29,385.566,756.66,496.525,590.857,556.812,315.388,580.893,361.897,622.921,559.915,207.795,559.387,747.731,1452.71,765.383,820.696,764.196,3091.11,257.168,98.6355,251.337,158.471,619.945,575.363,328.641,10000.0,10000.0,946.217,10000.0,744.898,10000.0,618.373,201.629,85.4459,321.077,380.927,240.604,191.945,93.4446,207.507,152.328,143.872,372.338
