hash,benchmark,verified-result,claimed-result,BreakID-kissat-noProofLogging.sh,BreakID-kissat-withUNSATCertificates-withProofLogging.sh,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
048142b6048cb6c10415e08f68a2c3a3,GP_81_430_13.cnf.xz,sat,sat,4466.52,4725.99,12.5664,11.4755,11.5254,12.137,11.592,10000.0,2888.44,2673.31,1882.88,2738.79,3201.47,10000.0,1552.18,24.3324,10000.0,10000.0,2289.01,2690.16,2206.54,3646.28,3457.96,1640.82,829.767,445.64,1213.55,74.3325,36.9898,11.6922,12.0503,3158.01,3145.05,3166.33,1761.21,11.6501,11.5547,10000.0,1743.48,2292.76,10000.0,3105.67,2287.88,4959.73,2893.4,3200.61,1514.89,1032.1,3700.49,3138.69,3163.75,1074.05
064fe286277f695f42b556ef991036ff,sin_depth_miter_2.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
07b7859003d84402cbb1ebdc37655d55,6s186_Iter20.cnf.xz,unsat,unsat,258.046,275.94,330.627,366.242,341.097,311.373,332.07,3958.74,174.256,336.635,316.67,314.369,307.712,175.588,388.081,317.15,711.466,451.554,1009.56,758.879,804.926,579.811,1217.49,781.108,711.198,719.793,722.366,362.634,332.95,321.751,308.626,320.65,348.975,302.108,843.474,407.351,292.534,388.882,325.557,245.009,320.259,195.944,181.32,190.076,319.834,173.668,183.927,189.71,217.251,358.049,320.41,359.307
0823bc5f954c6366702877556f0d3680,linked_list_swap_contents_safety_unwind66.cnf.xz,unsat,unsat,1377.5,2284.52,815.973,701.248,1556.71,587.524,3188.74,156.572,498.64,258.658,875.111,875.071,875.961,1821.96,245.241,1174.53,10000.0,4362.37,1068.21,1035.49,1334.71,1710.48,1830.8,1353.78,1618.28,1102.75,1004.75,105.732,173.875,1070.26,760.839,129.931,1249.14,1088.83,629.29,149.457,675.001,36.7003,119.617,1156.84,493.424,498.752,499.627,498.298,376.044,1238.03,1599.62,1398.05,1401.16,175.923,383.412,369.783
085b8ebc423dcbd70eceaa04229cf5cd,summle_X111102_steps8_I1-2-2-4-4-8-25-100.cnf.xz,sat,sat,1931.94,1608.47,244.522,453.803,998.301,39.7593,148.168,284.545,72.4669,439.16,61.6066,101.294,430.818,253.664,592.969,137.867,64.9988,119.719,168.149,56.5145,52.4966,155.17,52.0256,29.2565,244.856,20.2488,35.997,313.145,87.7627,859.424,60.0413,191.34,270.088,68.91,32.1149,1117.64,719.28,1070.4,623.992,231.005,250.587,40.7514,43.9207,113.821,95.341,225.96,24.9508,71.9274,97.7191,87.7294,59.5197,392.851
08991fb6c7c45205df7f2bc2f51fb1d9,bobsmdct_k500.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
090585dc32a79f2bf6fb61a2c7079682,mdp-28-16-sat.cnf.xz,sat,sat,1221.5,1271.49,271.065,303.926,587.064,293.163,226.992,603.914,335.08,1394.05,754.419,1203.04,374.062,54.5999,626.858,681.648,1287.38,1124.16,309.323,1447.29,1037.62,585.431,4826.52,1878.38,444.372,2344.36,2777.72,1006.78,1012.33,357.073,280.506,303.402,1484.2,2868.96,290.93,1200.3,95.1946,76.9864,958.781,18.95,777.181,926.177,572.185,325.365,611.518,423.717,311.206,1457.08,1731.72,1672.19,400.947,149.764
0a20cb72e5b005b8ed09d8a93184604a,j3037_9_gmto_bm1.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0a3cb69074519646b0f2933ba7ad2d30,aws-encryption-sdk-c:aws_cryptosdk_hdr_write.cnf.xz,unsat,unsat,10000.0,10000.0,647.447,739.148,665.926,1174.18,688.821,10000.0,2627.44,544.882,498.15,468.433,480.763,2631.26,929.549,651.872,1273.81,4301.92,1066.77,1410.9,1223.98,990.341,2987.2,1441.75,1518.58,1176.94,1238.32,743.527,804.373,683.899,830.058,515.071,584.935,550.347,714.988,944.981,696.079,358.461,724.893,448.833,2763.17,4951.25,2935.0,2578.65,559.732,711.051,688.115,817.765,2665.48,462.875,466.88,1393.64
0a514edbeace21927e52d75f2d4a8efd,ota-for-aws-iot-embedded-sdk:parseJSONbyModel.cnf.xz,unsat,unsat,4180.36,4161.65,794.158,1068.06,1032.01,732.223,1164.78,1017.74,1221.71,684.965,707.152,663.771,661.493,1383.02,754.93,888.59,796.452,3817.89,856.982,496.492,469.592,956.614,1435.36,701.556,788.622,699.321,582.171,1578.76,2234.24,803.232,1131.11,602.36,502.014,752.906,417.153,794.149,888.615,706.452,878.069,644.094,1451.11,1872.74,1698.57,1383.21,606.662,1134.46,1396.34,1045.34,1554.27,663.833,567.738,941.848
0b495cc867003b7ac112b7c47256228b,h31_large.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0c0e6faa4abb622f5bea636ff04d341d,grid-color-12-14-2-cb.cnf.xz,sat,sat,3676.62,10000.0,394.951,213.688,2621.43,86.008,702.785,2533.5,529.683,290.946,247.143,443.027,248.038,3994.93,1968.25,2475.53,18.5458,153.237,120.769,9.83323,9.49638,10000.0,1684.97,870.006,2264.06,208.97,1607.16,13.0634,13.2918,676.639,701.118,66.4603,1405.02,136.798,1562.91,10000.0,357.42,1714.15,926.467,113.983,2759.25,1197.39,53.7187,38.2809,253.734,626.714,10000.0,10000.0,2571.3,576.076,300.964,1186.23
