hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
000a41cdca43be89ed62ea3abf2d0b64,snw_13_9_pre.cnf,sat,sat,5.584,69.706
003a77d2aa15a5f93aa2cfe79b986c9e,fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf,sat,sat,2.277,0.094
0059d4b1cf79efbc6e6ed50caee0448e,4col220_9_1.shuffled.cnf,sat,sat,4.499,641.525
0062dc10471119b9e13da682216b190f,ex179_11.cnf,sat,sat,17.903,202.93
00a62eb89afbf27e1addf8f5c437da9b,ortholatin-7.cnf,sat,sat,2.476,9.899
00a981f385cd209d41e1efa1f5f29bac,ibm-2004-03-k70.cnf,sat,sat,3.299,2.816
00be590675417eba2bb2585790ac392d,iso-brn008.shuffled-as.sat05-2933.cnf,sat,sat,2.282,0.042
00e289099ea9bcef6a056a8c8ba8a3c0,ndist.b.21497.cnf,sat,sat,2.398,15.98
00ec2992d59f85705eb8e1f4f1e01b3d,sgen4-sat-280-8.cnf,sat,sat,83.547,2000.0
00f4aca773e5675f35263dcd46b15bde,vmpc_28.shuffled-as.sat05-1957.cnf,sat,sat,2.392,25.199
01209700b6b45ca5fda7fbcb17765db1,slp-synthesis-aes-top27.cnf,sat,sat,10.403,16.467
0151bedac526ee195bc52e4134cd80e7,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,sat,sat,19.19,2000.0
017bba0f995e6d9921253e5a59521435,9symml_gr_2pin_w6.shuffled.cnf,sat,sat,2.479,0.102
0191a0bf3412ed407ba669f8d69081ee,mrpp_6x6#18_20.cnf,sat,sat,5.277,25.674
01bc4d75a43a8293132d0be627341207,E04F19.cnf,sat,sat,5.331,27.272
0205e0724a8a912dde9ad7dfba2aee0b,003-23-80.cnf,sat,sat,9.581,75.923
021686368317a35103f1f671f783d958,velev-npe-1.0-9dlx-b71.cnf,sat,sat,15.52,486.448
0216f9d35f2b695b904fffb312e3e611,cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf,sat,sat,2.407,23.342
02223564bd2f5c20768e63cf28c785e3,mp1-squ_ali_s10x10_c39_abio_SAT.cnf,sat,sat,3.285,109.388
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf,sat,sat,21.444,2000.0
0241f35c5752768d2b0580533d143a14,53-131587.cnf,sat,sat,19.386,2000.0
024af9416f8c1dad1b4f974757e38d51,8-5-6.cnf,sat,sat,100.589,2000.0
0261b44c278c36459061c368aa00575a,EDP3-12000.cnf,sat,sat,26.331,53.237
028d0cc7af63e9bba5795f20e24db4f6,pyhala-braun-sat-35-4-04.shuffled.cnf,sat,sat,2.48,4.98
02b69d0e5c2b68d5c3d650164b6c277d,Q3inK08.cnf,sat,sat,2.576,0.039
02cfa5a71b5c89a1b10b5f5a5221ed05,clauses-8.cnf,sat,sat,36.617,123.013
