hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
00063d88244921d6ec46aeab6866a8e2,6s16.cnf,unsat,unsat,2.993,256.843
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf,unsat,unsat,8.482,307.822
0033baadbd48d3f880e9b5a733bd4950,rope_0030.shuffled.cnf,unsat,unsat,2.703,0.291
0041051c73dcdd885d412a38e8b09fba,rphp4_065_shuffled.cnf,unsat,unsat,5.612,518.088
0041f01bcd7d0d1f9541cea6da79ad57,SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf,unsat,unsat,6.188,2000.0
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf,unsat,unsat,10.483,143.745
005ccb378ced61c02105ed7ee0a62038,mm-2x2-5-0-s.1.shuffled-as.sat03-1496.cnf,unsat,unsat,3.488,2.946
0064aa2e16c9d4b18d32a45d3073fce9,desmul.miter.used-as.sat04-330.cnf,unsat,unsat,6.312,13.037
0071b624d91ebe408b0585f8c4e34fd9,ctl_4291_567_7_unsat.cnf,unsat,unsat,12.504,2000.0
008e7716c69009090ff6bd0048dc55f8,SAT_dat.k10.cnf,unsat,unsat,18.431,206.994
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf,unsat,unsat,14.284,76.283
00b9b467c26540853360491401da61a5,minand064.cnf,unsat,unsat,2.773,2.749
00d239e486137a4f7264adb4fb57d5ae,hwb-n24-01-S1048418025.shuffled-as.sat03-1617.cnf,unsat,unsat,7.499,130.134
00f2eb377986e7decbc863931680a3b2,rand_net70-40-10.shuffled.cnf,unsat,unsat,2.677,4.953
00f969737ba4338bd233cd3ed249bd55,3col20_5_6.shuffled.cnf,unsat,unsat,1.981,0.04
0107f34364dfff8ab062193b2c71b4de,sp4-33-bin-nons-flat-noid.cnf,unsat,unsat,6.506,119.6
010c9d7a6e9e6cac63f110915d9dd56e,3col60_5_9.shuffled.cnf,unsat,unsat,2.581,0.045
01243b47967a3d012ea22e993355c833,f8bidw.cnf,unsat,unsat,23.719,86.279
013a51ccada51812061ed2d6504e23a5,gensys-icl003.shuffled-as.sat05-3824.cnf,unsat,unsat,4.866,40.284
0141b82b3d2a411d8c2168119e2d7452,rope_0012.shuffled.cnf,unsat,unsat,2.274,0.062
0152d286cde406747d179c36a95c2fdc,shift1add.10000.cnf,unsat,unsat,3.754,0.962
01657386753a1369dd286a3fee9062e4,SGI_30_70_28_60_1-log.shuffled-as.sat03-176.cnf,unknown,unsat,100.466,2000.0
01843a0195183ca14246a88bf7bad482,smulo016.cnf,unsat,unsat,4.875,2.568
01966a0fc52b2200a13f5f835275a919,SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,unsat,unsat,13.427,2000.0
01979ca4966cc363ec3caeebd8d3fc31,connm-ue-csp-sat-n600-d0.04-s1979668539.used-as.sat04-981.cnf,unsat,unsat,6.579,5.817
019dc69c96737c3d62696c9acf3edf1b,T107.2.0.cnf,unsat,unsat,48.629,441.877
01a74343f618546e9ad2a60849140317,crafted_n12_d6_c3_num26.cnf,unsat,unsat,21.604,253.754
01af042093bf36119811b6e658e7a231,ecgrid6x155_shuffled.cnf,unsat,unsat,205.356,838.637
01bd0865ab694bc71d80b7d285d5777d,shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711.cnf,unsat,unsat,20.702,75.286
01d142c43f3ce9a8c5ef7a1ecdbb6cba,urquhart3_25bis.shuffled.cnf,unsat,unsat,2.877,44.809
01d494c2afa4960a236bf8412e2bd08a,manol-pipe-c10id_s.cnf,unsat,unsat,3.593,2.311
01dd5feb463fa80f73809718f6ff735b,10pipe_q0_k.cnf,unsat,unsat,18.216,97.915
