hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
00063d88244921d6ec46aeab6866a8e2,6s16.cnf,unsat,unsat,2.993,256.843
000a41cdca43be89ed62ea3abf2d0b64,snw_13_9_pre.cnf,sat,sat,5.584,69.706
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf,unsat,unsat,8.482,307.822
0033baadbd48d3f880e9b5a733bd4950,rope_0030.shuffled.cnf,unsat,unsat,2.703,0.291
003a77d2aa15a5f93aa2cfe79b986c9e,fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf,sat,sat,2.277,0.094
0041051c73dcdd885d412a38e8b09fba,rphp4_065_shuffled.cnf,unsat,unsat,5.612,518.088
0041f01bcd7d0d1f9541cea6da79ad57,SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf,unsat,unsat,6.188,2000.0
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf,unsat,unsat,10.483,143.745
0059d4b1cf79efbc6e6ed50caee0448e,4col220_9_1.shuffled.cnf,sat,sat,4.499,641.525
005ccb378ced61c02105ed7ee0a62038,mm-2x2-5-0-s.1.shuffled-as.sat03-1496.cnf,unsat,unsat,3.488,2.946
0062dc10471119b9e13da682216b190f,ex179_11.cnf,sat,sat,17.903,202.93
0064aa2e16c9d4b18d32a45d3073fce9,desmul.miter.used-as.sat04-330.cnf,unsat,unsat,6.312,13.037
0071b624d91ebe408b0585f8c4e34fd9,ctl_4291_567_7_unsat.cnf,unsat,unsat,12.504,2000.0
008e7716c69009090ff6bd0048dc55f8,SAT_dat.k10.cnf,unsat,unsat,18.431,206.994
00a62eb89afbf27e1addf8f5c437da9b,ortholatin-7.cnf,sat,sat,2.476,9.899
00a981f385cd209d41e1efa1f5f29bac,ibm-2004-03-k70.cnf,sat,sat,3.299,2.816
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf,unsat,unsat,14.284,76.283
00b9b467c26540853360491401da61a5,minand064.cnf,unsat,unsat,2.773,2.749
00be590675417eba2bb2585790ac392d,iso-brn008.shuffled-as.sat05-2933.cnf,sat,sat,2.282,0.042
00d239e486137a4f7264adb4fb57d5ae,hwb-n24-01-S1048418025.shuffled-as.sat03-1617.cnf,unsat,unsat,7.499,130.134
00e289099ea9bcef6a056a8c8ba8a3c0,ndist.b.21497.cnf,sat,sat,2.398,15.98
00ec2992d59f85705eb8e1f4f1e01b3d,sgen4-sat-280-8.cnf,sat,sat,83.547,2000.0
00f2eb377986e7decbc863931680a3b2,rand_net70-40-10.shuffled.cnf,unsat,unsat,2.677,4.953
00f4aca773e5675f35263dcd46b15bde,vmpc_28.shuffled-as.sat05-1957.cnf,sat,sat,2.392,25.199
00f969737ba4338bd233cd3ed249bd55,3col20_5_6.shuffled.cnf,unsat,unsat,1.981,0.04
0101d013a916d903e8e618d7db1edbb3,phnf-size10-exclusive-equilarge_l3.used-as.sat04-895.sat05-4189.reshuffled-07.cnf,unknown,unknown,2000.0,2000.0
0107f34364dfff8ab062193b2c71b4de,sp4-33-bin-nons-flat-noid.cnf,unsat,unsat,6.506,119.6
010c9d7a6e9e6cac63f110915d9dd56e,3col60_5_9.shuffled.cnf,unsat,unsat,2.581,0.045
