hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
00063d88244921d6ec46aeab6866a8e2,6s16.cnf.xz,unsat,unsat,628.972,596.131,621.034,635.11,10000.0,278.074,282.484,290.689,317.576,374.684,601.77,805.179,326.632,1002.38,1325.26,412.772,580.506,297.069,352.612,534.315,526.48,289.738,570.808,366.417,292.321,396.183,334.01,575.954
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf.xz,unsat,unsat,206.888,209.299,209.585,236.537,284.076,218.692,214.003,230.892,221.199,211.911,198.801,204.364,183.356,228.541,205.452,206.449,258.009,201.243,220.434,166.881,225.6,193.289,211.087,214.229,193.605,177.964,224.166,202.718
0033baadbd48d3f880e9b5a733bd4950,rope_0030.shuffled.cnf.xz,unsat,unsat,0.236902,0.238756,0.192917,0.156679,0.140925,0.195577,0.277641,0.307087,0.306873,0.179357,2.19383,12.2152,0.707999,1.76216,1.42286,0.356063,15.1159,0.34617,0.327809,0.154277,0.199866,0.358699,0.092553,0.096993,0.202419,0.188033,0.32733,0.302375
0041051c73dcdd885d412a38e8b09fba,rphp4_065_shuffled.cnf.xz,unsat,unsat,391.596,286.22,212.344,223.167,1655.05,617.349,619.8,635.063,626.015,290.234,10000.0,10000.0,2358.03,10000.0,10000.0,983.948,194.169,636.262,634.373,1170.23,613.25,637.464,318.099,315.952,277.602,273.986,646.639,1105.05
0041f01bcd7d0d1f9541cea6da79ad57,SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf.xz,unsat,unsat,478.787,460.16,398.636,403.129,2899.44,1005.65,1009.6,1026.98,1035.91,326.76,1208.54,1215.55,1113.04,1345.27,1388.74,534.798,437.572,1001.15,1021.51,1406.48,1096.68,1048.31,305.274,315.471,303.711,285.564,1070.36,1853.18
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf.xz,unsat,unsat,123.38,122.694,108.638,167.874,14.9817,96.0977,68.212,73.7679,71.3744,190.098,1739.31,169.003,165.587,265.057,358.532,369.556,102.403,73.0762,69.6685,178.907,176.14,72.8131,74.1771,258.586,76.0986,50.5633,32.9393,58.5367
005ccb378ced61c02105ed7ee0a62038,mm-2x2-5-0-s.1.shuffled-as.sat03-1496.cnf.xz,unsat,unsat,2.1046,2.07434,1.99217,1.88825,3.05586,5.58918,5.67847,5.66137,5.69538,3.0022,5.90239,6.83638,8.21243,8.47759,7.49634,2.31765,177.376,5.67113,4.56212,11.341,1.97777,3.73473,2.73745,3.36104,2.76062,2.74703,5.39873,9.04959
0064aa2e16c9d4b18d32a45d3073fce9,desmul.miter.used-as.sat04-330.cnf.xz,unsat,unsat,12.7724,12.4408,11.5698,12.1198,16.732,11.3322,11.3134,11.5881,11.6641,17.7616,42.9299,36.6071,46.7253,29.9237,17.9552,13.4689,12.0477,11.8364,11.3086,16.9979,11.059,10.945,18.8849,17.8207,19.6683,16.4603,11.0814,16.4535
0071b624d91ebe408b0585f8c4e34fd9,ctl_4291_567_7_unsat.cnf.xz,unsat,unsat,709.685,738.424,858.92,681.485,1941.64,892.425,664.31,745.61,940.992,599.562,534.245,798.221,562.283,652.801,716.225,823.841,743.968,812.185,905.392,436.442,752.682,725.92,536.644,607.073,551.559,532.295,715.358,847.356
008e7716c69009090ff6bd0048dc55f8,SAT_dat.k10.cnf.xz,unsat,unsat,1322.82,1273.06,1021.77,333.081,10000.0,214.367,197.491,189.705,179.49,267.566,4708.29,1707.11,327.813,1428.98,1380.14,206.51,659.096,172.156,204.795,632.106,865.411,215.139,259.373,195.137,118.993,175.596,226.225,10000.0
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf.xz,unsat,unsat,106.795,111.33,97.3435,123.645,56.3994,118.599,62.9688,62.9317,63.0288,56.3263,10000.0,10000.0,10000.0,10000.0,10000.0,77.9327,104.806,102.036,95.0649,10000.0,169.951,58.9667,59.0773,61.5313,60.7861,55.9182,74.9151,225.686
00b9b467c26540853360491401da61a5,minand064.cnf.xz,unsat,unsat,2.72514,2.67953,1.84935,2.07847,7.36467,3.16175,2.7183,2.71141,2.72141,12.3284,2.85376,3.39687,7.04046,7.46188,2.87127,0.712669,1.76782,2.37353,2.42182,1.38933,1.09683,1.87178,6.20377,12.3831,1.65357,6.19823,3.88039,3.39707
