hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
00063d88244921d6ec46aeab6866a8e2,6s16.cnf.xz,unsat,unsat,628.972,596.131,621.034,635.11,10000.0,278.074,282.484,290.689,317.576,374.684,601.77,805.179,326.632,1002.38,1325.26,412.772,580.506,297.069,352.612,534.315,526.48,289.738,570.808,366.417,292.321,396.183,334.01,575.954
000a41cdca43be89ed62ea3abf2d0b64,snw_13_9_pre.cnf.xz,sat,sat,117.74,109.627,93.871,98.0827,50.6417,33.6885,33.4447,34.6007,34.3879,21.9418,26.1627,14.2645,54.0271,85.4684,27.0003,18.3119,34.6784,40.619,41.653,20.6675,101.797,19.6463,126.85,99.732,47.5762,90.714,36.1624,32.9974
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf.xz,unsat,unsat,206.888,209.299,209.585,236.537,284.076,218.692,214.003,230.892,221.199,211.911,198.801,204.364,183.356,228.541,205.452,206.449,258.009,201.243,220.434,166.881,225.6,193.289,211.087,214.229,193.605,177.964,224.166,202.718
0033baadbd48d3f880e9b5a733bd4950,rope_0030.shuffled.cnf.xz,unsat,unsat,0.236902,0.238756,0.192917,0.156679,0.140925,0.195577,0.277641,0.307087,0.306873,0.179357,2.19383,12.2152,0.707999,1.76216,1.42286,0.356063,15.1159,0.34617,0.327809,0.154277,0.199866,0.358699,0.092553,0.096993,0.202419,0.188033,0.32733,0.302375
003a77d2aa15a5f93aa2cfe79b986c9e,fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf.xz,sat,sat,0.077303,0.076511,0.079257,0.068452,0.330826,0.051667,0.048777,0.048342,0.048242,0.16679,0.253456,0.481514,9.34489,0.25419,0.255278,0.177414,0.049269,0.049643,0.049284,0.164106,0.033304,0.033491,0.135864,0.13911,0.053441,0.137801,0.123625,0.033648
0041051c73dcdd885d412a38e8b09fba,rphp4_065_shuffled.cnf.xz,unsat,unsat,391.596,286.22,212.344,223.167,1655.05,617.349,619.8,635.063,626.015,290.234,10000.0,10000.0,2358.03,10000.0,10000.0,983.948,194.169,636.262,634.373,1170.23,613.25,637.464,318.099,315.952,277.602,273.986,646.639,1105.05
0041f01bcd7d0d1f9541cea6da79ad57,SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf.xz,unsat,unsat,478.787,460.16,398.636,403.129,2899.44,1005.65,1009.6,1026.98,1035.91,326.76,1208.54,1215.55,1113.04,1345.27,1388.74,534.798,437.572,1001.15,1021.51,1406.48,1096.68,1048.31,305.274,315.471,303.711,285.564,1070.36,1853.18
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf.xz,unsat,unsat,123.38,122.694,108.638,167.874,14.9817,96.0977,68.212,73.7679,71.3744,190.098,1739.31,169.003,165.587,265.057,358.532,369.556,102.403,73.0762,69.6685,178.907,176.14,72.8131,74.1771,258.586,76.0986,50.5633,32.9393,58.5367
0059d4b1cf79efbc6e6ed50caee0448e,4col220_9_1.shuffled.cnf.xz,sat,sat,1500.11,1510.22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3897.67,31.5185,10000.0,10000.0,44.5334,10000.0,10000.0,1.9481,1024.35,10000.0,67.4513,10000.0,10000.0,392.123,307.411,1471.33,10000.0,10000.0,10000.0
005ccb378ced61c02105ed7ee0a62038,mm-2x2-5-0-s.1.shuffled-as.sat03-1496.cnf.xz,unsat,unsat,2.1046,2.07434,1.99217,1.88825,3.05586,5.58918,5.67847,5.66137,5.69538,3.0022,5.90239,6.83638,8.21243,8.47759,7.49634,2.31765,177.376,5.67113,4.56212,11.341,1.97777,3.73473,2.73745,3.36104,2.76062,2.74703,5.39873,9.04959
