hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf,unsat,unsat,8.507,170.655
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf,unsat,unsat,9.619,193.748
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf,unsat,unsat,14.222,84.611
01d142c43f3ce9a8c5ef7a1ecdbb6cba,urquhart3_25bis.shuffled.cnf,unsat,unsat,3.002,42.313
02627689047d06fbb642eef14768d751,ps_200_300_70.cnf,unsat,unsat,8.519,41.633
0294158664d9ada36bd23fbb652cb823,smtlib-qfbv-aigs-countbits128-tseitin.cnf,unsat,unsat,106.595,2000.0
02c6fe8483e4f4474b7ac9731772535d,ncc_none_7047_6_3_3_0_0_420.cnf,unsat,unsat,57.865,370.092
0398e6b20de133ba8b49c74b67dad7b7,6s133-sc2014.cnf,unsat,unsat,2.806,249.363
03c44a93577c98119dc498053888937a,ctl_4291_567_1_unsat_pre.cnf,unsat,unsat,16.413,2000.0
04157f716c1e9606c6a530657bf8f957,Kakuro-easy-125-ext.xml.hg_4.cnf,unsat,unsat,165.421,2000.0
0447371bb8a97e8fe5d3cee6de1db766,UTI-20-10p0-sc2009.cnf,unsat,unsat,33.536,707.569
047c92e7c0a36a23d8107f4313517719,rubikcube701-sc2017.cnf,unsat,unsat,23.4,364.734
064fe286277f695f42b556ef991036ff,sin_depth_miter_2.cnf,unknown,unsat,202.473,2000.0
07b7859003d84402cbb1ebdc37655d55,6s186_Iter20.cnf,unsat,unsat,11.522,209.595
0823bc5f954c6366702877556f0d3680,linked_list_swap_contents_safety_unwind66.cnf,unsat,unsat,90.363,235.444
0855033e761d91ae367e867c5a569f9e,atco_enc1_opt2_10_15.cnf,unsat,unsat,16.531,223.814
08991fb6c7c45205df7f2bc2f51fb1d9,bobsmdct_k500.cnf,unknown,unsat,404.737,2000.0
0a20cb72e5b005b8ed09d8a93184604a,j3037_9_gmto_bm1.cnf,unknown,unsat,518.603,2000.0
0a3cb69074519646b0f2933ba7ad2d30,aws-encryption-sdk-c:aws_cryptosdk_hdr_write.cnf,unsat,unsat,43.945,384.632
0a514edbeace21927e52d75f2d4a8efd,ota-for-aws-iot-embedded-sdk:parseJSONbyModel.cnf,unsat,unsat,36.933,385.177
0dc468413b65339fad7e4f981bf2fb1e,reconf20_61_myciel4_2.cnf,unsat,unsat,6.499,9.913
0e89b0f96c99f1a6aaaf66c3ae805919,SCPC-500-15.cnf,unsat,unsat,4.422,115.971
109aa0f5e177c1efb72f133a6f8c723b,hantzsche_wendt_unit_92.cnf,unsat,unsat,31.537,2000.0
114f1b2ffd86e8a176bcbab664415520,bobsmdct_k88.cnf,unsat,unsat,40.153,2000.0
13b13b34fe88f093aca06d6d035ee797,Lab-Project-FreeRTOS-Cellular-Library:Cellular_ATRemovePrefix.cnf,unsat,unsat,97.091,2000.0
161a73825fb50badeedbf8d12e1e043a,cfi-rigid-z2-0088-03-or_2.cnf,unsat,unsat,19.12,322.228
16a0949c23ac67c57c5773403daaca60,coreMQTT:MQTT_Connect.cnf,unsat,unsat,102.573,2000.0
