hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf,unsat,unsat,8.507,170.655
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf,unsat,unsat,9.619,193.748
00a62eb89afbf27e1addf8f5c437da9b,ortholatin-7.cnf,sat,sat,2.499,3.079
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf,unsat,unsat,14.222,84.611
0151bedac526ee195bc52e4134cd80e7,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,sat,sat,17.426,2000.0
01813075a2ddb68ae1fc655ca003437e,sha256__zeroOut_12__freeIn_16__seed_1.cnf,sat,sat,58.437,157.407
01d142c43f3ce9a8c5ef7a1ecdbb6cba,urquhart3_25bis.shuffled.cnf,unsat,unsat,3.002,42.313
0205e0724a8a912dde9ad7dfba2aee0b,003-23-80.cnf,sat,sat,7.307,2000.0
02223564bd2f5c20768e63cf28c785e3,mp1-squ_ali_s10x10_c39_abio_SAT.cnf,sat,sat,2.491,27.059
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf,sat,sat,18.429,2000.0
024af9416f8c1dad1b4f974757e38d51,8-5-6.cnf,sat,sat,102.488,2000.0
02627689047d06fbb642eef14768d751,ps_200_300_70.cnf,unsat,unsat,8.519,41.633
0294158664d9ada36bd23fbb652cb823,smtlib-qfbv-aigs-countbits128-tseitin.cnf,unsat,unsat,106.595,2000.0
02c6fe8483e4f4474b7ac9731772535d,ncc_none_7047_6_3_3_0_0_420.cnf,unsat,unsat,57.865,370.092
02f2343e32f9070f149708d77556b4aa,Kakuro-easy-117-ext.xml.hg_5.cnf,sat,sat,54.052,326.245
0398e6b20de133ba8b49c74b67dad7b7,6s133-sc2014.cnf,unsat,unsat,2.806,249.363
03ba29d5cb38d345357a74a7b5ccd759,20-100-lambda100-49_sat.cnf,sat,sat,5.618,93.927
03bb7baaa45980753a0e7050ae44755d,atco_enc3_opt1_03_53.cnf,sat,sat,27.433,2000.0
03c44a93577c98119dc498053888937a,ctl_4291_567_1_unsat_pre.cnf,unsat,unsat,16.413,2000.0
03fb9af7b390fe9e0739150ca3410cf0,4g_5color_166_100_02.cnf,sat,sat,39.344,2000.0
04157f716c1e9606c6a530657bf8f957,Kakuro-easy-125-ext.xml.hg_4.cnf,unsat,unsat,165.421,2000.0
0447371bb8a97e8fe5d3cee6de1db766,UTI-20-10p0-sc2009.cnf,unsat,unsat,33.536,707.569
047c92e7c0a36a23d8107f4313517719,rubikcube701-sc2017.cnf,unsat,unsat,23.4,364.734
047fbe00ecc60835f1ee9d458bbd7ee8,SAT_H_instances_childsnack_p06.hddl_2.cnf,sat,sat,14.946,15.224
048142b6048cb6c10415e08f68a2c3a3,GP_81_430_13.cnf,sat,sat,9.821,2000.0
048a70da40ea4908c783b8314be2da97,aes_32_2_keyfind_1.cnf,sat,sat,4.408,12.749
0616ca6b1e0ae639d12e19ed310963a9,satcoin-genesis-SAT-4.cnf,sat,sat,2.691,11.029
064fe286277f695f42b556ef991036ff,sin_depth_miter_2.cnf,unknown,unsat,202.473,2000.0
