hash,benchmark,verified-result,claimed-result,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
00a62eb89afbf27e1addf8f5c437da9b,ortholatin-7.cnf.xz,sat,sat,3.43583,6.21002,6.12484,19.8088,5.54996,72.2971,9.81563,23.9179,28.3507,24.9864,25.0108,9.5509,9.31075,19.6436,16.9718,13.0335,69.4179,37.4427,51.0981,28.4681,34.1585,18.4128,25.5493,53.5087,85.9711,11.0557,10.993,5.3632,20.5392,14.705,13.7893,16.2034,52.7764,23.887,16.7981,27.0319,7.96135,40.586,31.2267,9.31971,12.0079,14.9862,5.61354,16.1187,14.4573,31.2159,13.6683,17.4987,13.4347,16.1929
0151bedac526ee195bc52e4134cd80e7,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf.xz,sat,sat,4066.65,3664.96,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1483.04,10000.0,4008.46,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4961.18,10000.0,10000.0,10000.0,3607.56,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2994.87,3769.09,10000.0,10000.0,10000.0
01813075a2ddb68ae1fc655ca003437e,sha256__zeroOut_12__freeIn_16__seed_1.cnf.xz,sat,sat,3111.86,2866.85,2538.31,2364.97,2697.8,10000.0,3943.73,3012.23,10000.0,4124.22,10000.0,4629.91,10000.0,2260.46,273.158,4743.45,954.145,1308.93,643.297,1227.69,10000.0,530.218,460.093,746.808,833.727,2585.21,1739.8,2867.51,2495.7,2607.64,3356.93,2606.64,2447.11,2204.83,2373.69,10000.0,10000.0,10000.0,1374.75,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3240.57,10000.0,10000.0
0205e0724a8a912dde9ad7dfba2aee0b,003-23-80.cnf.xz,sat,sat,10000.0,10000.0,10000.0,3326.1,10000.0,10000.0,718.342,3444.73,10000.0,1396.51,3408.35,4919.13,1344.49,10000.0,150.342,638.486,1341.79,349.413,221.194,10000.0,10000.0,4119.59,313.67,1319.53,4284.07,10000.0,1529.77,10000.0,10000.0,412.016,1623.37,407.467,10000.0,10000.0,626.184,10000.0,905.613,2367.32,3902.05,314.976,1634.16,1695.74,310.38,2156.71,10000.0,1947.73,1171.08,1863.66,1367.39,1137.49
02223564bd2f5c20768e63cf28c785e3,mp1-squ_ali_s10x10_c39_abio_SAT.cnf.xz,sat,sat,40.8057,258.305,645.442,175.799,48.6696,31.1526,192.595,53.8477,3.75583,42.7237,12.9892,365.569,83.4782,875.486,0.556046,0.546514,60.3126,8.89117,60.1948,207.806,254.723,166.179,173.961,71.7559,109.753,196.831,202.279,856.509,196.618,92.5597,35.5611,150.916,1.63624,321.589,69.8869,278.801,11.1502,24.0181,6.73914,27.026,60.8609,39.1659,12.5092,271.324,55.038,215.376,246.161,94.8893,35.8221,3.21379
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf.xz,sat,sat,144.527,366.021,261.386,546.497,363.252,10000.0,160.29,385.566,756.66,496.525,590.857,556.812,315.388,580.893,361.897,622.921,559.915,207.795,559.387,747.731,1452.71,765.383,820.696,764.196,3091.11,257.168,98.6355,251.337,158.471,619.945,575.363,328.641,10000.0,10000.0,946.217,10000.0,744.898,10000.0,618.373,201.629,85.4459,321.077,380.927,240.604,191.945,93.4446,207.507,152.328,143.872,372.338
024af9416f8c1dad1b4f974757e38d51,8-5-6.cnf.xz,sat,sat,10000.0,1809.71,4455.1,4377.57,1604.88,10000.0,803.474,1774.91,880.198,4904.69,1770.8,2186.92,10000.0,10000.0,1860.92,825.253,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4463.01,10000.0,1489.74,10000.0,3512.42,10000.0,10000.0,10000.0,10000.0,10000.0,2523.91,1632.6,378.199,862.771,480.595,3987.48,1983.76,2750.76,613.779,1163.0,1032.07,1811.99,580.995
02f2343e32f9070f149708d77556b4aa,Kakuro-easy-117-ext.xml.hg_5.cnf.xz,sat,sat,427.106,1024.95,1023.07,1236.1,416.437,1438.37,670.08,246.322,492.345,240.223,239.997,309.899,1240.74,973.338,581.93,388.759,608.371,327.303,327.497,855.389,699.995,786.944,1003.45,915.007,586.234,431.945,343.417,490.122,1061.23,154.444,247.809,271.17,840.628,883.521,457.712,10000.0,449.611,395.301,391.209,401.237,437.357,584.249,169.73,356.175,328.981,325.051,1014.25,220.913,245.509,257.736
03ba29d5cb38d345357a74a7b5ccd759,20-100-lambda100-49_sat.cnf.xz,sat,sat,27.2633,76.8526,117.841,99.8335,84.3935,912.515,105.837,89.4716,90.8806,115.896,89.786,49.4322,202.537,88.096,61.1124,40.193,109.667,7.82322,88.3329,308.116,523.765,174.731,226.917,138.04,281.251,354.394,349.077,84.0222,86.2534,118.629,109.736,143.32,233.734,228.2,231.642,183.571,117.829,116.622,106.052,112.94,165.931,147.496,154.988,138.16,98.8792,95.3226,233.776,110.083,155.822,124.981
03bb7baaa45980753a0e7050ae44755d,atco_enc3_opt1_03_53.cnf.xz,sat,sat,1272.36,1435.87,1455.1,3391.45,1388.27,4345.43,721.751,639.422,699.069,618.678,622.085,453.186,773.005,1628.82,827.62,793.993,3524.12,283.214,894.352,756.858,1554.52,1010.32,1765.5,655.876,629.128,570.291,1074.07,1374.7,1416.22,797.252,561.456,566.266,556.194,3989.51,1655.27,2926.8,879.347,1145.48,304.58,1009.56,318.89,600.13,626.179,407.117,68.0351,172.175,336.586,707.081,753.659,587.48
